09:36:00 INFO:Start training with [gpu(0)]
09:36:08 INFO:Epoch[9] Batch [20]	Speed: 54.12 samples/sec	Train-Perplexity=4.332367
09:36:16 INFO:Epoch[9] Batch [40]	Speed: 53.13 samples/sec	Train-Perplexity=4.454406
09:36:23 INFO:Epoch[9] Batch [60]	Speed: 55.72 samples/sec	Train-Perplexity=4.698720
09:36:31 INFO:Epoch[9] Batch [80]	Speed: 54.08 samples/sec	Train-Perplexity=4.789218
09:36:38 INFO:Epoch[9] Batch [100]	Speed: 50.40 samples/sec	Train-Perplexity=4.253934
09:36:46 INFO:Epoch[9] Batch [120]	Speed: 55.94 samples/sec	Train-Perplexity=4.404024
09:36:54 INFO:Epoch[9] Batch [140]	Speed: 50.26 samples/sec	Train-Perplexity=4.449379
09:37:01 INFO:Epoch[9] Batch [160]	Speed: 54.17 samples/sec	Train-Perplexity=4.276661
09:37:09 INFO:Epoch[9] Batch [180]	Speed: 51.46 samples/sec	Train-Perplexity=4.386808
09:37:16 INFO:Epoch[9] Batch [200]	Speed: 52.88 samples/sec	Train-Perplexity=4.498309
09:37:24 INFO:Epoch[9] Batch [220]	Speed: 54.47 samples/sec	Train-Perplexity=4.387996
09:37:31 INFO:Epoch[9] Batch [240]	Speed: 55.90 samples/sec	Train-Perplexity=4.306969
09:37:38 INFO:Epoch[9] Batch [260]	Speed: 52.10 samples/sec	Train-Perplexity=4.499139
09:37:46 INFO:Epoch[9] Batch [280]	Speed: 49.94 samples/sec	Train-Perplexity=4.138727
09:37:54 INFO:Epoch[9] Batch [300]	Speed: 56.55 samples/sec	Train-Perplexity=4.527210
09:38:01 INFO:Epoch[9] Batch [320]	Speed: 51.69 samples/sec	Train-Perplexity=4.286017
09:38:09 INFO:Epoch[9] Batch [340]	Speed: 53.74 samples/sec	Train-Perplexity=4.139487
09:38:17 INFO:Epoch[9] Batch [360]	Speed: 50.56 samples/sec	Train-Perplexity=4.622368
09:38:24 INFO:Epoch[9] Batch [380]	Speed: 55.11 samples/sec	Train-Perplexity=4.567177
09:38:32 INFO:Epoch[9] Batch [400]	Speed: 51.54 samples/sec	Train-Perplexity=4.522633
09:38:39 INFO:Epoch[9] Batch [420]	Speed: 54.72 samples/sec	Train-Perplexity=4.275274
09:38:46 INFO:Epoch[9] Batch [440]	Speed: 53.14 samples/sec	Train-Perplexity=4.476734
09:38:54 INFO:Epoch[9] Batch [460]	Speed: 54.14 samples/sec	Train-Perplexity=4.480791
09:39:01 INFO:Epoch[9] Batch [480]	Speed: 56.21 samples/sec	Train-Perplexity=4.377662
09:39:08 INFO:Epoch[9] Batch [500]	Speed: 53.96 samples/sec	Train-Perplexity=4.312957
09:39:16 INFO:Epoch[9] Batch [520]	Speed: 52.62 samples/sec	Train-Perplexity=4.539080
09:39:24 INFO:Epoch[9] Batch [540]	Speed: 52.37 samples/sec	Train-Perplexity=4.700626
09:39:31 INFO:Epoch[9] Batch [560]	Speed: 57.16 samples/sec	Train-Perplexity=4.414252
09:39:39 INFO:Epoch[9] Batch [580]	Speed: 50.00 samples/sec	Train-Perplexity=4.323226
09:39:47 INFO:Epoch[9] Batch [600]	Speed: 49.98 samples/sec	Train-Perplexity=4.321664
09:39:54 INFO:Epoch[9] Batch [620]	Speed: 57.55 samples/sec	Train-Perplexity=4.601507
09:40:01 INFO:Epoch[9] Batch [640]	Speed: 51.90 samples/sec	Train-Perplexity=4.232452
09:40:09 INFO:Epoch[9] Batch [660]	Speed: 51.71 samples/sec	Train-Perplexity=4.761042
09:40:17 INFO:Epoch[9] Batch [680]	Speed: 51.69 samples/sec	Train-Perplexity=4.591348
09:40:24 INFO:Epoch[9] Batch [700]	Speed: 57.19 samples/sec	Train-Perplexity=4.375869
09:40:32 INFO:Epoch[9] Batch [720]	Speed: 50.45 samples/sec	Train-Perplexity=4.634057
09:40:39 INFO:Epoch[9] Batch [740]	Speed: 54.42 samples/sec	Train-Perplexity=4.662787
09:40:47 INFO:Epoch[9] Batch [760]	Speed: 48.44 samples/sec	Train-Perplexity=4.847409
09:40:55 INFO:Epoch[9] Batch [780]	Speed: 52.30 samples/sec	Train-Perplexity=4.697068
09:41:02 INFO:Epoch[9] Batch [800]	Speed: 53.16 samples/sec	Train-Perplexity=4.233046
09:41:11 INFO:Epoch[9] Batch [820]	Speed: 48.05 samples/sec	Train-Perplexity=4.738172
09:41:19 INFO:Epoch[9] Batch [840]	Speed: 47.84 samples/sec	Train-Perplexity=4.354960
09:41:27 INFO:Epoch[9] Batch [860]	Speed: 54.32 samples/sec	Train-Perplexity=4.692234
09:41:34 INFO:Epoch[9] Batch [880]	Speed: 51.00 samples/sec	Train-Perplexity=4.075225
09:41:42 INFO:Epoch[9] Batch [900]	Speed: 53.12 samples/sec	Train-Perplexity=4.502651
09:41:50 INFO:Epoch[9] Batch [920]	Speed: 48.91 samples/sec	Train-Perplexity=4.370107
09:41:58 INFO:Epoch[9] Batch [940]	Speed: 53.42 samples/sec	Train-Perplexity=4.364268
09:42:05 INFO:Epoch[9] Batch [960]	Speed: 54.85 samples/sec	Train-Perplexity=4.379833
09:42:12 INFO:Epoch[9] Batch [980]	Speed: 53.24 samples/sec	Train-Perplexity=4.422002
09:42:20 INFO:Epoch[9] Batch [1000]	Speed: 55.74 samples/sec	Train-Perplexity=4.367497
09:42:27 INFO:Epoch[9] Batch [1020]	Speed: 56.15 samples/sec	Train-Perplexity=4.508584
09:42:34 INFO:Epoch[9] Batch [1040]	Speed: 55.46 samples/sec	Train-Perplexity=4.407206
09:42:41 INFO:Epoch[9] Batch [1060]	Speed: 53.50 samples/sec	Train-Perplexity=4.423049
09:42:49 INFO:Epoch[9] Batch [1080]	Speed: 50.26 samples/sec	Train-Perplexity=4.018586
09:42:56 INFO:Epoch[9] Batch [1100]	Speed: 56.02 samples/sec	Train-Perplexity=4.312818
09:43:04 INFO:Epoch[9] Batch [1120]	Speed: 51.52 samples/sec	Train-Perplexity=4.281802
09:43:12 INFO:Epoch[9] Batch [1140]	Speed: 54.51 samples/sec	Train-Perplexity=4.505496
09:43:19 INFO:Epoch[9] Batch [1160]	Speed: 52.99 samples/sec	Train-Perplexity=4.693040
09:43:26 INFO:Epoch[9] Batch [1180]	Speed: 55.50 samples/sec	Train-Perplexity=4.204098
09:43:34 INFO:Epoch[9] Batch [1200]	Speed: 52.92 samples/sec	Train-Perplexity=4.329932
09:43:41 INFO:Epoch[9] Batch [1220]	Speed: 54.02 samples/sec	Train-Perplexity=4.290170
